long,lat,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,age,primary_fur_color,highlight_fur_color,combination_of_primary_and_highlight_color,color_notes,location,above_ground_sighter_measurement,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,other_interactions,lat_long,zip_codes,community_districts,borough_boundaries,city_council_districts,police_precincts
-73.9711666523376,40.7761513057034,13D-AM-1014-02,13D,AM,10142018,2,Adult,Cinnamon,NA,Cinnamon+,NA,Ground Plane,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9711666523376 40.7761513057034),NA,19,4,19,13
-73.9733461334967,40.7684314285151,5G-PM-1010-01,05G,PM,10102018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9733461334967 40.7684314285151),NA,19,4,19,13
-73.9664450399121,40.7887844904695,27A-AM-1008-02,27A,AM,10082018,2,Adult,Cinnamon,White,Cinnamon+White,NA,Ground Plane,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9664450399121 40.7887844904695),NA,19,4,19,13
-73.9563661256875,40.7966823114508,39D-AM-1008-03,39D,AM,10082018,3,Adult,Gray,NA,Gray+,NA,Above Ground,5,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9563661256875 40.7966823114508),NA,19,4,19,13
-73.9698446365683,40.7842607168578,22A-AM-1008-01,22A,AM,10082018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Above Ground,4,on fence,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9698446365683 40.7842607168578),NA,19,4,19,13
-73.9786936992465,40.7713943674666,5A-PM-1010-02,05A,PM,10102018,2,Adult,Gray,White,Gray+White,NA,Above Ground,50,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9786936992465 40.7713943674666),NA,19,4,19,13
-73.9682062012675,40.786498436192,24A-AM-1014-02,24A,AM,10142018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,Blonde? in Highlights,Ground Plane,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9682062012675 40.786498436192),NA,19,4,19,13
-73.9564777440695,40.7993068355401,42C-AM-1007-01,42C,AM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,nut in mouth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9564777440695 40.7993068355401),NA,19,4,19,13
-73.9750346778281,40.7665404404824,2G-PM-1007-01,02G,PM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9750346778281 40.7665404404824),NA,19,4,19,13
-73.9790044506465,40.7689469479245,3B-AM-1010-03,03B,AM,10102018,3,Juvenile,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,chasing #2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9790044506465 40.7689469479245),NA,19,4,19,13
-73.9579659543224,40.7905646887034,32F-AM-1012-07,32F,AM,10122018,7,Adult,Gray,White,Gray+White,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9579659543224 40.7905646887034),NA,19,4,19,13
-73.9543832609857,40.7953550639701,39F-AM-1014-02,39F,AM,10142018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Above Ground,2,rocks,TRUE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9543832609857 40.7953550639701),NA,19,4,19,13
-73.9750992564362,40.7743391883762,10B-PM-1014-03,10B,PM,10142018,3,Adult,Gray,White,Gray+White,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,avoided people,POINT (-73.9750992564362 40.7743391883762),NA,19,4,19,13
